Designator,Footprint,Mid X,Mid Y,TB,Rotation,Comment
C01,C0603,42.5,57.5,B,90,
C02,C0603,39.85,57.45,B,90,
C03,C0603,37.15,57.4,B,90,
C04,C0603,34.45,57.5,B,90,
C05,C0603,31.75,57.5,B,90,
C06,C0603,5.8,89.25,B,0,
C07,C0603,168,88.5,B,0,
C08,C0603,149,88.5,B,0,
C09,C0603,130,88.5,B,0,
C10,C0603,111,88.5,B,0,
C11,C0603,21,38.5,B,0,
C12,C0603,39.8,40,B,0,
C13,C0603,99.7,60.1,B,90,
D00,SOD-123,39.2,61.5,B,0,
D01,SOD-123,11.18,76.67,B,0,
D02,SOD-123,35.18,88.67,B,0,
D03,SOD-123,35.18,91.68,B,0,
D04,SOD-123,57.18,84.67,B,0,
D05,SOD-123,89.18,79.67,B,0,
D06,SOD-123,113.18,76.67,B,0,
D07,SOD-123,132.18,76.67,B,0,
D08,SOD-123,151.18,76.67,B,0,
D09,SOD-123,170.18,76.67,B,0,
D10,SOD-123,174.18,80.67,B,0,
D11,SOD-123,194.18,80.67,B,0,
D12,SOD-123,213.18,80.67,B,0,
D13,SOD-123,232.18,80.67,B,0,
D14,SOD-123,264.18,80.67,B,0,
D15,SOD-123,8.18,61.68,B,0,
D16,SOD-123,32.18,61.68,B,0,
D17,SOD-123,62.18,63.18,B,0,
D18,SOD-123,70.17,75.67,B,0,
D19,SOD-123,89.18,75.67,B,0,
D20,SOD-123,108.18,61.68,B,0,
D21,SOD-123,128.68,61.68,B,0,
D22,SOD-123,146.18,61.68,B,0,
D23,SOD-123,165.18,61.68,B,0,
D24,SOD-123,184.18,61.68,B,0,
D25,SOD-123,203.18,61.68,B,0,
D26,SOD-123,222.18,61.68,B,0,
D27,SOD-123,241.18,61.68,B,0,
D28,SOD-123,264.18,75.67,B,0,
D29,SOD-123,10.18,42.68,B,0,
D30,SOD-123,36.18,42.68,B,0,
D31,SOD-123,55.18,42.68,B,0,
D32,SOD-123,74.17,42.68,B,0,
D33,SOD-123,94.18,42.68,B,0,
D34,SOD-123,113.18,42.68,B,0,
D35,SOD-123,128.68,57.18,B,0,
D36,SOD-123,151.18,42.68,B,0,
D37,SOD-123,170.18,42.68,B,0,
D38,SOD-123,189.18,42.68,B,0,
D39,SOD-123,208.18,42.68,B,0,
D40,SOD-123,227.18,42.68,B,0,
D41,SOD-123,260.18,57.68,B,0,
D42,SOD-123,19.88,19.38,B,0,
D43,SOD-123,46,19,B,0,
D44,SOD-123,46.18,23.68,B,0,
D45,SOD-123,65.17,23.68,B,0,
D46,SOD-123,84.17,23.68,B,0,
D47,SOD-123,103.18,23.68,B,0,
D48,SOD-123,122.18,23.68,B,0,
D49,SOD-123,141.18,23.68,B,0,
D50,SOD-123,160.18,23.68,B,0,
D51,SOD-123,179.18,23.68,B,0,
D52,SOD-123,198.18,23.68,B,0,
D53,SOD-123,217.18,23.68,B,0,
D54,SOD-123,253.18,23.68,B,0,
D55,SOD-123,19.18,4.67,B,0,
D56,SOD-123,29.18,4.67,B,0,
D57,SOD-123,53.18,4.67,B,0,
D58,SOD-123,124.18,4.67,B,0,
D59,SOD-123,196.18,4.67,B,0,
D60,SOD-123,220.18,4.67,B,0,
D61,SOD-123,244.18,4.67,B,0,
D62,SOD-123,267.18,4.67,B,0,
ESD,SOT-23-6L,18.5,77.1,B,0,
J-UBS,,18.7,91.3,B,180,Please check the placement of this item
J-UDB,,45,79,B,270,Please check the placement of this item
LM1117,SOT223,49,60,B,0,
U$14,SC-74A,40,36,B,90,Please check the placement of this item
PTC,SMD_PTC,25,75.6,B,0,
R1,R0603,11.3,91.3,B,180,
R2,R0603,26,91.4,B,0,
R3,R0603,59.4,19.9,B,180,
R4,R0603,63.65,19.9,B,180,
R5,R0603,5.8,91.3,B,180,
R6,R0603,45.7,38.35,B,0,
R7,R0603,16.6,38.5,B,0,
R8,R0603,92.4,54.7,B,0,
S1,TACTILE_SWITCH_SMD_5.2MM,29.5,40.7,B,0,
S2,TACTILE_SWITCH_SMD_5.2MM,29.5,46.7,B,0,
TVS,SOD123FL-BI,31.4,75.7,B,0,
X1,SOT-23-5,78.9,61.5,B,180,Please check the placement of this item
